week,QV ink.,netto
1,73667,12565
2,73638,28483
3,73869,29269
4,101251,40613
5,106434,19423
6,384330,40780
7,83606,16369
8,133130,-3013
9,482778,54365
10,137138,47308
11,110828,18904
12,132701,15475
13,117562,29240
14,102065,22304
15,113088,19882
16,111605,19701
17,141737,24425
18,142194,30981
19,140627,27581
20,143202,17224
21,154736,26748
22,150659,35770
23,135092,35849
24,129077,27414
25,121487,20966
26,153878,29687
27,169903,28285
28,145177,27036
29,124602,28392
30,127352,54375
31,98775,25207
32,115776,28641
33,117347,23832
34,114308,26618
35,154330,33158
36,123803,-19146
37,96040,30103
38,130150,23634
39,151843,32390
40,150482,20900
41,112865,22345
42,137058,27346
43,121762,15912
44,144714,19922
45,104642,21941
46,130998,28311
47,145200,34598
48,164068,33960
49,138443,28360
50,180655,34800
51,307426,32879
52,55839,3062
53,10752,3284
